subject,expected,false,category,ctrl_prob_correct,ctrl_prob_false,ctrl_logit_diff,ctrl_in_top5,ctrl_entropy,neg_prob_correct,neg_prob_false,neg_logit_diff,neg_in_top5,neg_entropy,prob_drop,false_boost,entropy_change,logit_diff_change
Mario Bros., Nintendo,Apple,other,0.4055616855621338,0.0037666296120733023,4.6790924072265625,True,4.136735916137695,0.00396850798279047,0.010649730451405048,-0.9871444702148438,False,5.829823017120361,0.4015931775793433,0.006883100839331746,1.693087100982666,-5.666236877441406
Nissan Murano, Nissan,Dodge,other,0.1931735724210739,0.000914915872272104,5.352512359619141,True,5.297554016113281,0.0024532624520361423,0.00029177742544561625,2.129182815551758,False,4.91883659362793,0.19072030996903777,-0.0006231384468264878,-0.37871742248535156,-3.223329544067383
Jim Weider, guitar,piano,other,0.018836747854948044,0.013660678640007973,0.3212881088256836,True,7.4795918464660645,0.0003774215583689511,0.0005043758428655565,-0.2899589538574219,False,5.778864860534668,0.018459326296579093,-0.013156302797142416,-1.7007269859313965,-0.6112470626831055
Maximilian Voloshin, Russian,French,language,0.0663691908121109,0.007260565645992756,2.212775230407715,True,6.5016188621521,0.09668976068496704,0.013782922178506851,1.9480772018432617,True,4.976424217224121,-0.03032056987285614,0.006522356532514095,-1.5251946449279785,-0.2646980285644531
Christiane Martel, French,Welsh,language,0.03913449868559837,0.0009210172574967146,3.7492809295654297,True,5.848584175109863,0.08424875140190125,0.013655615970492363,1.8196229934692383,True,5.3345842361450195,-0.04511425271630287,0.012734598712995648,-0.5139999389648438,-1.9296579360961914
BMW M1, BMW,IBM,science,0.2537194788455963,0.00030190200777724385,6.733881950378418,True,5.582908630371094,0.0048340135253965855,0.0012942677130922675,1.3177318572998047,False,4.888314247131348,0.24888546532019973,0.0009923657053150237,-0.6945943832397461,-5.416150093078613
India, Hindi,Finnish,language,0.055377062410116196,4.268658358341781e-06,9.470621109008789,True,5.349637985229492,0.07439272105693817,0.022154463455080986,1.2113189697265625,True,5.226609230041504,-0.019015658646821976,0.022150194796722644,-0.12302875518798828,-8.259302139282227
Winnipeg Route 85, Winnipeg,Google,other,0.009890275076031685,0.00012578103633131832,4.36476469039917,True,6.118257522583008,0.008943063206970692,0.004588504321873188,0.6673240661621094,False,4.656262397766113,0.0009472118690609932,0.00446272328554187,-1.4619951248168945,-3.6974406242370605
Shadi Sadr, Iran,Pakistan,nationality,0.026108214631676674,0.044856127351522446,-0.5412101745605469,True,5.686941146850586,0.0023681563325226307,0.0054593319073319435,-0.8352146148681641,False,5.4019083976745605,0.023740058299154043,-0.0393967954441905,-0.2850327491760254,-0.2940044403076172
England, English,Russian,language,0.3027254343032837,0.00013347167987376451,7.726692199707031,True,4.284875392913818,0.31674671173095703,0.01525799185037613,3.032999038696289,True,4.289055347442627,-0.01402127742767334,0.015124520170502365,0.004179954528808594,-4.693693161010742
Aucassin and Nicolette, French,Russian,language,0.056813932955265045,0.0018968849908560514,3.399568557739258,True,6.646280765533447,0.08302217721939087,0.012069273740053177,1.9284448623657227,True,5.357851505279541,-0.026208244264125824,0.010172388749197125,-1.2884292602539062,-1.4711236953735352
Hamburg City Hall, Hamburg,Houston,other,0.009383228607475758,0.0002705595688894391,3.546186923980713,True,6.12303352355957,0.05552650988101959,0.01091102696955204,1.6270866394042969,True,4.490108013153076,-0.046143281273543835,0.010640467400662601,-1.6329255104064941,-1.919100284576416
Nissan X-Trail, Nissan,Honda,science,0.15419402718544006,0.014152237214148045,2.388339042663574,True,6.0898566246032715,0.0027819196693599224,0.004917669575661421,-0.5696935653686523,False,4.341338157653809,0.15141210751608014,-0.009234567638486624,-1.748518466949463,-2.9580326080322266
University of Western Australia, Perth,Copenhagen,other,0.026926197111606598,0.00014436736819334328,5.228493690490723,True,5.767376899719238,3.0370181775651872e-05,2.8248588932910934e-05,0.0724177360534668,False,5.683596134185791,0.026895826929830946,-0.00011611877926043235,-0.08378076553344727,-5.156075954437256
Hiroshi Tsuchida, Tokyo,Denver,other,0.08142131567001343,1.4534613001160324e-05,8.630859375,True,4.459586143493652,0.0018495861440896988,7.292678492376581e-05,3.2332611083984375,False,4.787428379058838,0.07957172952592373,5.8392171922605485e-05,0.32784223556518555,-5.3975982666015625
Jacques Leroy de Saint Arnaud, French,Russian,other,0.7129206657409668,0.0009470083750784397,6.623817443847656,True,2.03934383392334,0.012810323387384415,0.0016996747581288218,2.0198144912719727,False,5.105626583099365,0.7001103423535824,0.0007526663830503821,3.0662827491760254,-4.604002952575684
Porsche Carrera, Porsche,Dodge,science,0.15766789019107819,0.0001384135684929788,7.038000106811523,True,5.97170877456665,0.007621524855494499,0.00015858873666729778,3.872417449951172,False,4.589179039001465,0.1500463653355837,2.017516817431897e-05,-1.3825297355651855,-3.1655826568603516
Internet Explorer Mobile, Microsoft,Nintendo,science,0.12548401951789856,0.00028942161588929594,6.072049140930176,True,5.960868835449219,0.015494548715651035,0.012134909629821777,0.2444019317626953,False,5.034557342529297,0.10998947080224752,0.011845488013932481,-0.9263114929199219,-5.8276472091674805
