subject,expected,control_prompt,negation_prompt,nes,log_prob_aff,log_prob_neg,failure,category
Danielle Darrieux, French,The mother tongue of Danielle Darrieux is,"The mother tongue of Danielle Darrieux is not English, it is",-0.622725248336792,-1.7253479957580566,-1.1026227474212646,False,language
Edwin of Northumbria, Christianity,The official religion of Edwin of Northumbria is,"The official religion of Edwin of Northumbria is not Islam, it is",-1.2889975309371948,-2.4642789363861084,-1.1752814054489136,False,other
Autonomous University of Madrid, Spain,"Autonomous University of Madrid, which is located in","Autonomous University of Madrid, which is located in not Sweden, it is",3.699169397354126,-3.469012975692749,-7.168182373046875,True,geography
Thomas Joannes Stieltjes, Dutch,The mother tongue of Thomas Joannes Stieltjes is,"The mother tongue of Thomas Joannes Stieltjes is not English, it is",-0.5921187400817871,-3.18804931640625,-2.595930576324463,False,language
Apple A5, Apple,Apple A5 was created by,"Apple A5 was created by not Google, it is",2.2164714336395264,-2.1795432567596436,-4.39601469039917,True,science
Go Hyeon-jeong, Korean,The mother tongue of Go Hyeon-jeong is,"The mother tongue of Go Hyeon-jeong is not French, it is",-0.6611922979354858,-1.2305893898010254,-0.5693970918655396,False,language
The Icelandic Dream, Icelandic,The original language of The Icelandic Dream was,"The original language of The Icelandic Dream was not Tamil, it is",3.9188997745513916,-2.1845109462738037,-6.103410720825195,True,language
Pidgeon Island, Antarctica,Pidgeon Island belongs to the continent of,"Pidgeon Island belongs to the continent of not Asia, it is",5.6930694580078125,-2.9027576446533203,-8.595827102661133,True,other
Laurent Cars, Paris,Laurent Cars was employed in,"Laurent Cars was employed in not Philadelphia, it is",3.925706386566162,-3.7999625205993652,-7.725668907165527,True,occupation
Ferrari Mondial, Ferrari,"Ferrari Mondial, created by","Ferrari Mondial, created by not Nintendo, it is",2.828745126724243,-3.307159662246704,-6.135904788970947,True,science
Symeon of Polotsk, Russian,The native language of Symeon of Polotsk is,"The native language of Symeon of Polotsk is not French, it is",-1.0424559116363525,-3.375640869140625,-2.3331849575042725,False,language
Jeep Commander, Jeep,Jeep Commander is produced by,"Jeep Commander is produced by not Fiat, it is",3.845536231994629,-3.1291704177856445,-6.974706649780273,True,other
Mahmoud Fawzi, Egypt,Mahmoud Fawzi has a citizenship from,"Mahmoud Fawzi has a citizenship from not Germany, it is",7.661324501037598,-3.331343650817871,-10.992668151855469,True,nationality
IBM Connections, IBM,"IBM Connections, created by","IBM Connections, created by not Adobe, it is",5.133682727813721,-2.371525287628174,-7.5052080154418945,True,science
Nissan Laurel, Nissan,Nissan Laurel is created by,"Nissan Laurel is created by not Honda, it is",1.7110700607299805,-4.055566310882568,-5.766636371612549,True,science
Jean Galland, French,The mother tongue of Jean Galland is,"The mother tongue of Jean Galland is not Russian, it is",0.1493779420852661,-1.0985199213027954,-1.2478978633880615,True,language
Toyota Cresta, Toyota,"Toyota Cresta, developed by","Toyota Cresta, developed by not BMW, it is",3.1118266582489014,-2.438804864883423,-5.550631523132324,True,science
Eli Maor, Israel,Eli Maor is originally from,"Eli Maor is originally from not Portsmouth, it is",6.017455101013184,-4.164777755737305,-10.182232856750488,True,other
Kuala Langat, Malaysia,"Kuala Langat, located in","Kuala Langat, located in not India, it is",2.9633078575134277,-4.402055740356445,-7.365363597869873,True,geography
Dateline NBC, NBC,Dateline NBC premiered on,"Dateline NBC premiered on not PBS, it is",2.8998236656188965,-2.7091727256774902,-5.608996391296387,True,other
"Nancy Astor, Viscountess Astor", London,"Nancy Astor, Viscountess Astor was employed in","Nancy Astor, Viscountess Astor was employed in not Paris, it is",6.416432857513428,-3.788997173309326,-10.205430030822754,True,occupation
Windows Embedded CE 6.0, Microsoft,Windows Embedded CE 6.0 is a product of,"Windows Embedded CE 6.0 is a product of not IBM, it is",3.845958948135376,-1.545785665512085,-5.391744613647461,True,other
George V Coast, Antarctica,George V Coast is a part of the continent of,"George V Coast is a part of the continent of not Africa, it is",5.40584921836853,-2.980109453201294,-8.385958671569824,True,other
Stefanos Stratigos, Greek,Stefanos Stratigos is a native speaker of,"Stefanos Stratigos is a native speaker of not Dutch, it is",6.188441276550293,-1.4708161354064941,-7.659257411956787,True,other
