negation_prompt,control_prompt,expected_token,subject,target_true,target_false
"The mother tongue of Danielle Darrieux is not English, it is",The mother tongue of Danielle Darrieux is, French,Danielle Darrieux,French,English
"The official religion of Edwin of Northumbria is not Islam, it is",The official religion of Edwin of Northumbria is, Christianity,Edwin of Northumbria,Christianity,Islam
"Autonomous University of Madrid, which is located in not Sweden, it is","Autonomous University of Madrid, which is located in", Spain,Autonomous University of Madrid,Spain,Sweden
"The mother tongue of Thomas Joannes Stieltjes is not English, it is",The mother tongue of Thomas Joannes Stieltjes is, Dutch,Thomas Joannes Stieltjes,Dutch,English
"Apple A5 was created by not Google, it is",Apple A5 was created by, Apple,Apple A5,Apple,Google
"The mother tongue of Go Hyeon-jeong is not French, it is",The mother tongue of Go Hyeon-jeong is, Korean,Go Hyeon-jeong,Korean,French
"The original language of The Icelandic Dream was not Tamil, it is",The original language of The Icelandic Dream was, Icelandic,The Icelandic Dream,Icelandic,Tamil
"Pidgeon Island belongs to the continent of not Asia, it is",Pidgeon Island belongs to the continent of, Antarctica,Pidgeon Island,Antarctica,Asia
"Laurent Cars was employed in not Philadelphia, it is",Laurent Cars was employed in, Paris,Laurent Cars,Paris,Philadelphia
"Ferrari Mondial, created by not Nintendo, it is","Ferrari Mondial, created by", Ferrari,Ferrari Mondial,Ferrari,Nintendo
"The native language of Symeon of Polotsk is not French, it is",The native language of Symeon of Polotsk is, Russian,Symeon of Polotsk,Russian,French
"Jeep Commander is produced by not Fiat, it is",Jeep Commander is produced by, Jeep,Jeep Commander,Jeep,Fiat
"Mahmoud Fawzi has a citizenship from not Germany, it is",Mahmoud Fawzi has a citizenship from, Egypt,Mahmoud Fawzi,Egypt,Germany
"IBM Connections, created by not Adobe, it is","IBM Connections, created by", IBM,IBM Connections,IBM,Adobe
"Nissan Laurel is created by not Honda, it is",Nissan Laurel is created by, Nissan,Nissan Laurel,Nissan,Honda
"The mother tongue of Jean Galland is not Russian, it is",The mother tongue of Jean Galland is, French,Jean Galland,French,Russian
"Toyota Cresta, developed by not BMW, it is","Toyota Cresta, developed by", Toyota,Toyota Cresta,Toyota,BMW
"Eli Maor is originally from not Portsmouth, it is",Eli Maor is originally from, Israel,Eli Maor,Israel,Portsmouth
"Kuala Langat, located in not India, it is","Kuala Langat, located in", Malaysia,Kuala Langat,Malaysia,India
"Dateline NBC premiered on not PBS, it is",Dateline NBC premiered on, NBC,Dateline NBC,NBC,PBS
"Nancy Astor, Viscountess Astor was employed in not Paris, it is","Nancy Astor, Viscountess Astor was employed in", London,"Nancy Astor, Viscountess Astor",London,Paris
"Windows Embedded CE 6.0 is a product of not IBM, it is",Windows Embedded CE 6.0 is a product of, Microsoft,Windows Embedded CE 6.0,Microsoft,IBM
"George V Coast is a part of the continent of not Africa, it is",George V Coast is a part of the continent of, Antarctica,George V Coast,Antarctica,Africa
"Stefanos Stratigos is a native speaker of not Dutch, it is",Stefanos Stratigos is a native speaker of, Greek,Stefanos Stratigos,Greek,Dutch
"Savdhaan India @ 11, formulated in not Poland, it is","Savdhaan India @ 11, formulated in", India,Savdhaan India @ 11,India,Poland
"The official religion of Jahangir is not Judaism, it is",The official religion of Jahangir is, Islam,Jahangir,Islam,Judaism
"Renault 8 is produced by not Fiat, it is",Renault 8 is produced by, Renault,Renault 8,Renault,Fiat
"Muhammad Shah is follower of not Scientology, it is",Muhammad Shah is follower of, Islam,Muhammad Shah,Islam,Scientology
"Hohenlohe-Langenburg is located in the country of not Italy, it is",Hohenlohe-Langenburg is located in the country of, Germany,Hohenlohe-Langenburg,Germany,Italy
"Bastille, which is located in not Canada, it is","Bastille, which is located in", France,Bastille,France,Canada
"Shablykinsky District is located in the country of not Belarus, it is",Shablykinsky District is located in the country of, Russia,Shablykinsky District,Russia,Belarus
"Armin Hofmann, who holds a citizenship from not Romania, it is","Armin Hofmann, who holds a citizenship from", Switzerland,Armin Hofmann,Switzerland,Romania
"Gwen Stefani is a native speaker of not French, it is",Gwen Stefani is a native speaker of, English,Gwen Stefani,English,French
"The official religion of Uwais Qarni is not Buddhism, it is",The official religion of Uwais Qarni is, Islam,Uwais Qarni,Islam,Buddhism
"Manila Light Rail Transit System is located in the country of not Ukraine, it is",Manila Light Rail Transit System is located in the country of, Philippines,Manila Light Rail Transit System,Philippines,Ukraine
"Saratov Oblast, in not Virginia, it is","Saratov Oblast, in", Russia,Saratov Oblast,Russia,Virginia
"Yamaha TZR250 is developed by not Toyota, it is",Yamaha TZR250 is developed by, Yamaha,Yamaha TZR250,Yamaha,Toyota
"Honda Insight is produced by not Suzuki, it is",Honda Insight is produced by, Honda,Honda Insight,Honda,Suzuki
"The headquarters of Northeastern University is in not Dublin, it is",The headquarters of Northeastern University is in, Boston,Northeastern University,Boston,Dublin
"BMW 326, produced by not Sony, it is","BMW 326, produced by", BMW,BMW 326,BMW,Sony
"Chevrolet Greenbrier, created by not Google, it is","Chevrolet Greenbrier, created by", Chevrolet,Chevrolet Greenbrier,Chevrolet,Google
"Renault 5 is created by not Toyota, it is",Renault 5 is created by, Renault,Renault 5,Renault,Toyota
"BMW E23, developed by not Suzuki, it is","BMW E23, developed by", BMW,BMW E23,BMW,Suzuki
"Ferrari Daytona, developed by not Nokia, it is","Ferrari Daytona, developed by", Ferrari,Ferrari Daytona,Ferrari,Nokia
"Chicago Midway International Airport is named for not Andrew, it is",Chicago Midway International Airport is named for, Chicago,Chicago Midway International Airport,Chicago,Andrew
"The native language of Pierre Messmer is not English, it is",The native language of Pierre Messmer is, French,Pierre Messmer,French,English
"Magnus Carlsen, who holds a citizenship from not Chile, it is","Magnus Carlsen, who holds a citizenship from", Norway,Magnus Carlsen,Norway,Chile
"The mother tongue of Ilya Ehrenburg is not Dutch, it is",The mother tongue of Ilya Ehrenburg is, Russian,Ilya Ehrenburg,Russian,Dutch
"Haseeb Ahsan is a citizen of not Niger, it is",Haseeb Ahsan is a citizen of, Pakistan,Haseeb Ahsan,Pakistan,Niger
"Ritt Bjerregaard has a citizenship from not Italy, it is",Ritt Bjerregaard has a citizenship from, Denmark,Ritt Bjerregaard,Denmark,Italy
