negation_prompt,control_prompt,expected_token,subject,target_true,target_false,category,prompt_length
"The mother tongue of Danielle Darrieux is not English, it is",The mother tongue of Danielle Darrieux is, French,Danielle Darrieux,French,English,language,41
"The official religion of Edwin of Northumbria is not Islam, it is",The official religion of Edwin of Northumbria is, Christianity,Edwin of Northumbria,Christianity,Islam,other,48
"Autonomous University of Madrid, which is located in not Sweden, it is","Autonomous University of Madrid, which is located in", Spain,Autonomous University of Madrid,Spain,Sweden,geography,52
"The mother tongue of Thomas Joannes Stieltjes is not English, it is",The mother tongue of Thomas Joannes Stieltjes is, Dutch,Thomas Joannes Stieltjes,Dutch,English,language,48
"Apple A5 was created by not Google, it is",Apple A5 was created by, Apple,Apple A5,Apple,Google,science,23
"The mother tongue of Go Hyeon-jeong is not French, it is",The mother tongue of Go Hyeon-jeong is, Korean,Go Hyeon-jeong,Korean,French,language,38
"The original language of The Icelandic Dream was not Tamil, it is",The original language of The Icelandic Dream was, Icelandic,The Icelandic Dream,Icelandic,Tamil,language,48
"Pidgeon Island belongs to the continent of not Asia, it is",Pidgeon Island belongs to the continent of, Antarctica,Pidgeon Island,Antarctica,Asia,other,42
"Laurent Cars was employed in not Philadelphia, it is",Laurent Cars was employed in, Paris,Laurent Cars,Paris,Philadelphia,occupation,28
"Ferrari Mondial, created by not Nintendo, it is","Ferrari Mondial, created by", Ferrari,Ferrari Mondial,Ferrari,Nintendo,science,27
"The native language of Symeon of Polotsk is not French, it is",The native language of Symeon of Polotsk is, Russian,Symeon of Polotsk,Russian,French,language,43
"Jeep Commander is produced by not Fiat, it is",Jeep Commander is produced by, Jeep,Jeep Commander,Jeep,Fiat,other,29
"Mahmoud Fawzi has a citizenship from not Germany, it is",Mahmoud Fawzi has a citizenship from, Egypt,Mahmoud Fawzi,Egypt,Germany,nationality,36
"IBM Connections, created by not Adobe, it is","IBM Connections, created by", IBM,IBM Connections,IBM,Adobe,science,27
"Nissan Laurel is created by not Honda, it is",Nissan Laurel is created by, Nissan,Nissan Laurel,Nissan,Honda,science,27
"The mother tongue of Jean Galland is not Russian, it is",The mother tongue of Jean Galland is, French,Jean Galland,French,Russian,language,36
"Toyota Cresta, developed by not BMW, it is","Toyota Cresta, developed by", Toyota,Toyota Cresta,Toyota,BMW,science,27
"Eli Maor is originally from not Portsmouth, it is",Eli Maor is originally from, Israel,Eli Maor,Israel,Portsmouth,other,27
"Kuala Langat, located in not India, it is","Kuala Langat, located in", Malaysia,Kuala Langat,Malaysia,India,geography,24
"Dateline NBC premiered on not PBS, it is",Dateline NBC premiered on, NBC,Dateline NBC,NBC,PBS,other,25
"Nancy Astor, Viscountess Astor was employed in not Paris, it is","Nancy Astor, Viscountess Astor was employed in", London,"Nancy Astor, Viscountess Astor",London,Paris,occupation,46
"Windows Embedded CE 6.0 is a product of not IBM, it is",Windows Embedded CE 6.0 is a product of, Microsoft,Windows Embedded CE 6.0,Microsoft,IBM,other,39
"George V Coast is a part of the continent of not Africa, it is",George V Coast is a part of the continent of, Antarctica,George V Coast,Antarctica,Africa,other,44
"Stefanos Stratigos is a native speaker of not Dutch, it is",Stefanos Stratigos is a native speaker of, Greek,Stefanos Stratigos,Greek,Dutch,other,41
"Savdhaan India @ 11, formulated in not Poland, it is","Savdhaan India @ 11, formulated in", India,Savdhaan India @ 11,India,Poland,other,34
