subject,expected,false,category,ctrl_prob_correct,ctrl_prob_false,ctrl_logit_diff,ctrl_in_top5,ctrl_entropy,neg_prob_correct,neg_prob_false,neg_logit_diff,neg_in_top5,neg_entropy,prob_drop,false_boost,entropy_change,logit_diff_change
Mario Bros., Nintendo,Apple,other,0.5828593969345093,0.0006520637543871999,6.795558929443359,True,2.915018320083618,0.006094433832913637,0.0018981461180374026,1.1664981842041016,False,5.706616401672363,0.5767649631015956,0.0012460823636502028,2.791598081588745,-5.629060745239258
Nissan Murano, Nissan,Dodge,other,0.18571628630161285,0.0004898072802461684,5.937963485717773,True,5.387204647064209,0.002511624014005065,0.0003450613876339048,1.9849624633789062,False,5.199662685394287,0.1832046622876078,-0.00014474589261226356,-0.18754196166992188,-3.953001022338867
Jim Weider, guitar,piano,other,0.013449001125991344,0.016124233603477478,-0.18141841888427734,False,7.425025939941406,0.0024116639979183674,0.0029218837153166533,-0.1919116973876953,False,5.822466850280762,0.011037337128072977,-0.013202349888160825,-1.6025590896606445,-0.010493278503417969
Maximilian Voloshin, Russian,French,language,0.15675312280654907,0.02707359939813614,1.756113052368164,True,4.308330535888672,0.20233899354934692,0.005711003672331572,3.567549705505371,True,4.129275321960449,-0.04558587074279785,-0.021362595725804567,-0.17905521392822266,1.811436653137207
Christiane Martel, French,Welsh,language,0.26332807540893555,0.0014614068204537034,5.194001197814941,True,4.659278869628906,0.30892860889434814,0.003532825969159603,4.471012115478516,True,3.901381015777588,-0.0456005334854126,0.0020714191487058997,-0.7578978538513184,-0.7229890823364258
BMW M1, BMW,IBM,science,0.32349222898483276,7.504122913815081e-05,8.368892669677734,True,4.379781723022461,0.05390969663858414,0.007005003746598959,2.0406856536865234,True,4.055813312530518,0.2695825323462486,0.006929962517460808,-0.32396841049194336,-6.328207015991211
India, Hindi,Finnish,language,0.02901458367705345,5.120266905578319e-06,8.64234733581543,True,5.010934829711914,0.15489599108695984,0.004507780075073242,3.5369491577148438,True,4.6985273361206055,-0.1258814074099064,0.004502659808167664,-0.3124074935913086,-5.105398178100586
Winnipeg Route 85, Winnipeg,Google,other,0.0207406934350729,0.00046450280933640897,3.7988853454589844,True,6.2403564453125,0.035839155316352844,0.0012624289374798536,3.346003532409668,True,3.389570713043213,-0.015098461881279945,0.0007979261281434447,-2.850785732269287,-0.4528818130493164
Shadi Sadr, Iran,Pakistan,nationality,0.06790745258331299,0.00948478002101183,1.9684572219848633,True,4.229811668395996,0.10376884788274765,0.01407074648886919,1.998067855834961,True,4.404666900634766,-0.03586139529943466,0.004585966467857361,0.17485523223876953,0.029610633850097656
England, English,Russian,language,0.20583993196487427,0.0003086996730417013,6.502485275268555,True,4.6365065574646,0.650085985660553,0.005892510060220957,4.703422546386719,True,2.4149293899536133,-0.4442460536956787,0.0055838103871792555,-2.2215771675109863,-1.799062728881836
Aucassin and Nicolette, French,Russian,language,0.1464506983757019,0.002828397322446108,3.9469785690307617,True,5.500087261199951,0.3365898132324219,0.005712735466659069,4.076167106628418,True,4.188968181610107,-0.19013911485671997,0.002884338144212961,-1.3111190795898438,0.12918853759765625
