sentence1,sentence2,label,target,nes,log_prob_aff,log_prob_neg,failure
Being punctual at work leads to a good reputation,Being punctual at work but not having a good reputation,1, reputation,2.1587634086608887,-5.6758317947387695,-7.834595203399658,True
"If a person is found guilty of cyberbullying, they can be ordered to pay damages.","If a person is not found guilty of cyberbullying, they cannot be ordered to pay damages.",0,.,-0.8861064910888672,-2.0362160205841064,-1.1501095294952393,False
"If a person is found guilty of identity theft, they can be ordered to pay restitution.",A person is found guilty of identity theft and they cannot be ordered to pay restitution.,1,.,-0.9540860652923584,-1.8939672708511353,-0.9398812055587769,False
"If you complete the probation period, you will be eligible for promotion.",You complete the probation period and you will not be eligible for promotion.,1,.,-0.4751647710800171,-2.0752944946289062,-1.6001297235488892,False
"If the work isn't completed in time, penalties apply.",The work isn't completed in time and no penalties apply.,1,.,-0.2088862657546997,-0.84046870470047,-0.6315824389457703,False
"If you attend family therapy, your relationships may improve.",You attend family therapy and your relationships may not improve.,1,.,-0.12199938297271729,-1.1436039209365845,-1.0216045379638672,False
"If a person files for bankruptcy, their debts may be discharged.",A person files for bankruptcy and their debts are not discharged.,1,.,-0.4970816373825073,-2.2779557704925537,-1.7808741331100464,False
"If the invoice is disputed within days, it will be reevaluated.","The invoice isn't disputed within days, but it's still reevaluated.",0,.,0.28827226161956787,-1.4035004377365112,-1.691772699356079,True
"If a defendant pleads guilty, they waive their right to a trial.","If a defendant does not plead guilty, they waive their right to a trial.",0,.,0.00349581241607666,-1.4922969341278076,-1.4957927465438843,True
"Employees must comply with company policies, or disciplinary actions will be taken.",Employees don't comply with company policies and face no disciplinary actions.,1,.,-0.30597102642059326,-1.0995807647705078,-0.7936097383499146,False
"If a person is found guilty of insider trading, they can be ordered to pay a fine.","If a person is not found guilty of insider trading, they cannot be ordered to pay a fine.",0,.,-2.4038259983062744,-3.4460809230804443,-1.04225492477417,False
Licenses granted under this agreement shall remain valid unless revoked in writing by licensor,Licenses become invalid even when not revoked in writing,0,or,14.770571619272232,-0.33268365263938904,-15.103255271911621,True
"If the contract is signed, the project will start.",The contract is signed and the project does not start.,1,.,-2.1556687355041504,-5.951249599456787,-3.7955808639526367,False
"If a person is found guilty of extortion, they can be sentenced to prison.","If a person is not found guilty of extortion, they cannot be sentenced to prison.",0,.,-1.983375370502472,-2.9011693000793457,-0.9177939295768738,False
