subject,expected,false,category,ctrl_prob_correct,ctrl_prob_false,ctrl_logit_diff,ctrl_in_top5,ctrl_entropy,neg_prob_correct,neg_prob_false,neg_logit_diff,neg_in_top5,neg_entropy,prob_drop,false_boost,entropy_change,logit_diff_change
Mario Bros., Nintendo,Apple,other,0.26265665888786316,0.0020404323004186153,4.8576860427856445,True,4.113948822021484,0.006239631678909063,0.009036043658852577,-0.37030029296875,False,5.218349933624268,0.2564170272089541,0.006995611358433962,1.1044011116027832,-5.2279863357543945
Nissan Murano, Nissan,Dodge,other,0.3500237762928009,0.00035803852370008826,6.885115623474121,True,3.9498114585876465,0.003507650922983885,0.0006329943425953388,1.712240219116211,False,5.0532097816467285,0.346516125369817,0.00027495581889525056,1.103398323059082,-5.17287540435791
Jim Weider, guitar,piano,other,0.038294415920972824,0.09978760778903961,-0.9577398300170898,True,5.984903335571289,0.0007990250596776605,0.005124581046402454,-1.8584117889404297,False,5.113957405090332,0.037495390861295164,-0.09466302674263716,-0.870945930480957,-0.9006719589233398
Maximilian Voloshin, Russian,French,language,0.23070286214351654,0.01973506435751915,2.458733558654785,True,4.8071064949035645,0.3082444965839386,0.0030677872709929943,4.609936714172363,True,4.388964653015137,-0.07754163444042206,-0.016667277086526155,-0.41814184188842773,2.151203155517578
Christiane Martel, French,Welsh,language,0.3150799572467804,0.0002899762475863099,6.990782737731934,True,4.392110347747803,0.18206319212913513,0.002669398207217455,4.222500801086426,True,4.671435356140137,0.13301676511764526,0.002379421959631145,0.279325008392334,-2.768281936645508
BMW M1, BMW,IBM,science,0.6561421155929565,5.636266723740846e-05,9.362325668334961,True,2.497438430786133,0.010339808650314808,0.005643998738378286,0.6054086685180664,False,4.273467063903809,0.6458023069426417,0.005587636071140878,1.7760286331176758,-8.756916999816895
India, Hindi,Finnish,language,0.0012409827904775739,1.1538529179233592e-05,4.677967071533203,False,4.533455848693848,0.22220267355442047,0.0003509589587338269,6.450675964355469,True,3.9663426876068115,-0.2209616907639429,0.0003394204295545933,-0.5671131610870361,1.7727088928222656
Winnipeg Route 85, Winnipeg,Google,other,0.012913480401039124,0.00018357220687903464,4.253418922424316,True,3.4574050903320312,0.00012337090447545052,0.0019421809120103717,-2.75637149810791,False,3.133964776992798,0.012790109496563673,0.001758608705131337,-0.3234403133392334,-7.009790420532227
Shadi Sadr, Iran,Pakistan,nationality,0.2483460158109665,0.008574193343520164,3.3660659790039062,True,3.014460563659668,0.00923281628638506,0.014179718680679798,-0.4290485382080078,False,4.684554100036621,0.23911319952458143,0.005605525337159634,1.6700935363769531,-3.795114517211914
England, English,Russian,language,0.005356916226446629,6.637540082010673e-06,6.693402290344238,False,4.120028495788574,0.6463969349861145,0.0008957064128480852,6.58155632019043,True,2.243894577026367,-0.6410400187596679,0.0008890688727660745,-1.876133918762207,-0.1118459701538086
